"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
159,"$100,000 under $200,000",83477
159,"$200,000 or more",98663
,,
161,Freestone County,"528,546"
161,Under $1,-15327
161,"$1 under $10,000",4917
161,"$10,000 under $25,000",29046
161,"$25,000 under $50,000",69244
161,"$50,000 under $75,000",75466
161,"$75,000 under $100,000",63868
161,"$100,000 under $200,000",172651
161,"$200,000 or more",128681
,,
163,Frio County,"342,068"
163,Under $1,-14480
163,"$1 under $10,000",4489
163,"$10,000 under $25,000",29526
163,"$25,000 under $50,000",68979
163,"$50,000 under $75,000",60726
163,"$75,000 under $100,000",41562
163,"$100,000 under $200,000",68579
163,"$200,000 or more",82687
,,
165,Gaines County,"631,411"
165,Under $1,-13039
165,"$1 under $10,000",5727
165,"$10,000 under $25,000",29739
165,"$25,000 under $50,000",72433
165,"$50,000 under $75,000",80896
165,"$75,000 under $100,000",65315
165,"$100,000 under $200,000",171710
165,"$200,000 or more",218630
,,
167,Galveston County,"15,461,764"
167,Under $1,-140492
167,"$1 under $10,000",84905
167,"$10,000 under $25,000",510353
167,"$25,000 under $50,000",1220943
167,"$50,000 under $75,000",1366112
167,"$75,000 under $100,000",1286574
167,"$100,000 under $200,000",4297353
167,"$200,000 or more",6836016
,,
169,Garza County,"122,184"
169,Under $1,-3589
169,"$1 under $10,000",1059
169,"$10,000 under $25,000",5982
169,"$25,000 under $50,000",17249
169,"$50,000 under $75,000",17187
169,"$75,000 under $100,000",15764
169,"$100,000 under $200,000",31633
169,"$200,000 or more",36899
,,
171,Gillespie County,"1,790,685"
171,Under $1,-24431
171,"$1 under $10,000",7710
171,"$10,000 under $25,000",38501
171,"$25,000 under $50,000",117554
171,"$50,000 under $75,000",116611
171,"$75,000 under $100,000",118996
171,"$100,000 under $200,000",339132
171,"$200,000 or more",1076612
,,
173,Glasscock County,"135,186"
173,Under $1,**
173,"$1 under $10,000",-347
173,"$10,000 under $25,000",1037
173,"$25,000 under $50,000",4797
173,"$50,000 under $75,000",4109
173,"$75,000 under $100,000",4684
173,"$100,000 under $200,000",17218
173,"$200,000 or more",103688
,,
175,Goliad County,"267,522"
